"ID_ORIG","ID_DEST","dur_foot"
1,1,2.4
2,1,4.1
3,1,9.1
4,1,6.1
5,1,0.3
6,1,5.8
7,1,11.4
8,1,8.6
9,1,3.9
10,1,4.4
11,1,9.8
12,1,15.1
13,1,12.6
14,1,7.3
15,1,3.6
16,1,7.5
17,1,13.4
18,1,18.9
19,1,17.2
20,1,11
21,1,7.1
22,1,7
23,1,12.6
24,1,16.8
25,1,22
26,1,20
27,1,14.8
28,1,9.5
29,1,7.8
30,1,10.6
31,1,15
32,1,20.3
33,1,17.6
34,1,15.5
35,1,11.6
36,1,10.3
37,1,15.4
38,1,18.5
39,1,22.7
40,1,20.3
41,1,17.6
42,1,12.8
43,1,9.6
44,1,13.4
45,1,19
46,1,22.2
47,1,25.4
48,1,23
49,1,22.4
50,1,16.2
51,1,12.8
52,1,13.6
53,1,16
54,1,22.5
55,1,25.2
56,1,23.1
57,1,21.6
58,1,15.5
59,1,13.5
60,1,19
61,1,18.6
62,1,25
63,1,27.5
64,1,26.2
65,1,25
66,1,18.2
67,1,16.1
68,1,16.3
69,1,18.5
70,1,22.8
71,1,27.7
72,1,28.2
73,1,22.6
74,1,19.5
75,1,20.9
76,1,21.3
77,1,21.4
78,1,27.3
79,1,31
80,1,29.1
81,1,25
82,1,21.7
83,1,18.4
84,1,19.1
85,1,22.5
86,1,25.8
87,1,30.5
88,1,32.6
89,1,34.7
90,1,23.3
91,1,22.3
92,1,23.4
93,1,21.8
94,1,23.8
95,1,29.4
96,1,31.6
97,1,36.4
98,1,31.9
99,1,24.5
100,1,22.5
101,1,23.6
102,1,24.5
103,1,32.1
104,1,32.8
105,1,39.7
106,1,33.6
107,1,26.8
108,1,24.7
109,1,23.5
110,1,24.3
111,1,27.8
112,1,30.5
113,1,38.3
114,1,34.9
115,1,29.5
116,1,26.8
117,1,25.8
118,1,30.9
119,1,27.2
120,1,29.8
121,1,34.8
122,1,30.7
123,1,30.1
124,1,27.3
125,1,25.6
126,1,27.4
127,1,31.4
128,1,31.4
129,1,36.4
130,1,37.4
131,1,32.6
132,1,29.8
133,1,28.2
134,1,29
135,1,29.2
136,1,34.4
137,1,34.2
138,1,38
139,1,33.9
140,1,34
141,1,29.2
142,1,30.2
143,1,37.2
144,1,36.6
145,1,39.8
146,1,35
147,1,34.4
148,1,35.3
149,1,31.7
150,1,34.6
151,1,37.8
152,1,36.4
153,1,38.5
154,1,35.9
155,1,35.3
156,1,35.5
157,1,35
158,1,34.6
159,1,38.3
160,1,37.2
161,1,35.3
162,1,35.5
163,1,33.6
164,1,36.2
165,1,37
166,1,40.8
167,1,38
168,1,39.6
169,1,36.5
170,1,37.1
171,1,38.9
172,1,41.5
173,1,38.1
174,1,39.2
175,1,35.7
176,1,40.9
177,1,43.2
178,1,41.3
179,1,40.2
180,1,38.8
181,1,39.8
182,1,43.3
183,1,39.8
184,1,42.5
185,1,39.8
186,1,43.8
187,1,41.9
188,1,42.3
189,1,41.3
1,2,16.9
2,2,13.3
3,2,7.2
4,2,20.6
5,2,14.7
6,2,9
7,2,3.1
8,2,23.1
9,2,18.4
10,2,12.7
11,2,6.7
12,2,0.8
13,2,25.7
14,2,21.8
15,2,16.4
16,2,11.2
17,2,2.8
18,2,5.2
19,2,28.5
20,2,24.2
21,2,19.8
22,2,13.1
23,2,6.6
24,2,3.1
25,2,8.2
26,2,31.3
27,2,26.1
28,2,20.7
29,2,15.9
30,2,10.2
31,2,7.5
32,2,6.5
33,2,28.9
34,2,26
35,2,20.4
36,2,14.1
37,2,9.8
38,2,6.8
39,2,10.1
40,2,31.6
41,2,28.3
42,2,22.6
43,2,18.3
44,2,12.7
45,2,10.2
46,2,9.7
47,2,12.8
48,2,34.3
49,2,31
50,2,26.1
51,2,20.4
52,2,16.1
53,2,12.8
54,2,11
55,2,13.4
56,2,34.4
57,2,29.4
58,2,25.3
59,2,18.7
60,2,17.5
61,2,13
62,2,13.4
63,2,14.9
64,2,37.7
65,2,33.6
66,2,28
67,2,22.5
68,2,19
69,2,16.6
70,2,18.9
71,2,14.3
72,2,38.4
73,2,32.4
74,2,27
75,2,24.7
76,2,19.9
77,2,17.6
78,2,16.9
79,2,17.6
80,2,39.3
81,2,34.9
82,2,29
83,2,24.7
84,2,21.7
85,2,20.6
86,2,20.4
87,2,17.3
88,2,19.4
89,2,40.5
90,2,33.2
91,2,28.7
92,2,25.9
93,2,22.3
94,2,21.7
95,2,20.1
96,2,18.4
97,2,46.6
98,2,37.5
99,2,31.7
100,2,29.2
101,2,26.8
102,2,23
103,2,22.8
104,2,23.2
105,2,30.1
106,2,43.7
107,2,34
108,2,31.1
109,2,28.4
110,2,27.5
111,2,24.2
112,2,27.2
113,2,28.7
114,2,45.1
115,2,39.4
116,2,33.2
117,2,31.5
118,2,35.2
119,2,25.7
120,2,26.5
121,2,25.2
122,2,43.9
123,2,37.3
124,2,33.7
125,2,31.3
126,2,28.8
127,2,28.1
128,2,28.2
129,2,26.8
130,2,47.6
131,2,39.8
132,2,36.1
133,2,34.6
134,2,33.3
135,2,30.5
136,2,31.1
137,2,30.4
138,2,45.2
139,2,41.1
140,2,40.6
141,2,34.9
142,2,31.6
143,2,34
144,2,32.9
145,2,30.2
146,2,42.2
147,2,40.8
148,2,40.9
149,2,37
150,2,35.2
151,2,34.5
152,2,33.1
153,2,45.8
154,2,42.3
155,2,41.9
156,2,41.1
157,2,35.6
158,2,36.6
159,2,35.1
