"ID_ORIG","ID_DEST","dur_foot"
1,1,19.9
2,1,22.1
3,1,25.2
4,1,22.6
5,1,19.5
6,1,23.4
7,1,27.4
8,1,15.5
9,1,17
10,1,19.7
11,1,25.3
12,1,30.1
13,1,12.4
14,1,15.8
15,1,19.3
16,1,21.2
17,1,26.9
18,1,33.9
19,1,10.8
20,1,14.3
21,1,14.7
22,1,18
23,1,24
24,1,31.9
25,1,36.5
26,1,10
27,1,21.4
28,1,13
29,1,14.7
30,1,21.2
31,1,28.2
32,1,37.2
33,1,8.8
34,1,11.9
35,1,11.3
36,1,21.4
37,1,24.1
38,1,31.9
39,1,32.3
40,1,6.9
41,1,7.3
42,1,8.9
43,1,19.4
44,1,21.5
45,1,26.7
46,1,30
47,1,40.6
48,1,8.4
49,1,4.9
50,1,5.4
51,1,10.3
52,1,19.4
53,1,23.2
54,1,27.5
55,1,31.5
56,1,6.4
57,1,3.7
58,1,7.8
59,1,16.3
60,1,20.6
61,1,23.8
62,1,30
63,1,36.6
64,1,7.5
65,1,3.6
66,1,3.6
67,1,11.3
68,1,18.1
69,1,20.9
70,1,27.1
71,1,34
72,1,5.7
73,1,0.3
74,1,7.1
75,1,15.9
76,1,18
77,1,24
78,1,30.7
79,1,33.6
80,1,7.9
81,1,3.3
82,1,3.3
83,1,12.9
84,1,15.8
85,1,21.7
86,1,27.6
87,1,33.6
88,1,54.1
89,1,6.8
90,1,4.4
91,1,6.6
92,1,11.7
93,1,18.4
94,1,24.6
95,1,32
96,1,55.8
97,1,8.9
98,1,5.2
99,1,4.7
100,1,10.5
101,1,15.5
102,1,21.3
103,1,30.8
104,1,33.9
105,1,55.8
106,1,8.6
107,1,8.7
108,1,7.7
109,1,12.8
110,1,18.8
111,1,24.6
112,1,31.2
113,1,35.6
114,1,12
115,1,8.5
116,1,7.5
117,1,10.9
118,1,16.2
119,1,22.4
120,1,28.5
121,1,34.8
122,1,10.3
123,1,9.9
124,1,9.4
125,1,14.1
126,1,19.6
127,1,26.3
128,1,31.3
129,1,37
130,1,11.7
131,1,12.1
132,1,10.5
133,1,13
134,1,18.2
135,1,23.2
136,1,28.6
137,1,33.5
138,1,14.3
139,1,13.2
140,1,17.7
141,1,16.1
142,1,20.4
143,1,25.7
144,1,33.5
145,1,38.4
146,1,16.1
147,1,14.5
148,1,16.8
149,1,21.1
150,1,22.9
151,1,29.7
152,1,32.5
153,1,18.4
154,1,15.4
155,1,16.4
156,1,17.9
157,1,22.4
158,1,25.4
159,1,31.8
160,1,18.3
161,1,16.9
162,1,19.2
163,1,23.5
164,1,25.9
165,1,28
166,1,33.7
167,1,18.4
168,1,20.8
169,1,20.7
170,1,24.9
171,1,28.2
172,1,32.1
173,1,20
174,1,25.1
175,1,23.2
176,1,28
177,1,29.5
178,1,20.1
179,1,23.1
180,1,24
181,1,26.9
182,1,29.7
183,1,21.5
184,1,27.4
185,1,28
186,1,29.6
187,1,26.9
188,1,25.8
189,1,27.4
1,2,24.8
2,2,27
3,2,30.1
4,2,27.5
5,2,24.4
6,2,28.3
7,2,28.1
8,2,20.4
9,2,21.9
10,2,24.6
11,2,28
12,2,30.1
13,2,17.3
14,2,20.7
15,2,24.3
16,2,24.8
17,2,26.9
18,2,29.9
19,2,16
20,2,19.2
21,2,19.6
22,2,22.9
23,2,23.8
24,2,27.9
25,2,28.7
26,2,15.2
27,2,26.6
28,2,17.9
29,2,19.6
30,2,21.2
31,2,24.2
32,2,27.4
33,2,14
34,2,16.8
35,2,16.2
36,2,19.4
37,2,20.8
38,2,27.9
39,2,26.6
40,2,13.5
41,2,13.4
42,2,13.8
43,2,16.1
44,2,18.2
45,2,22.4
46,2,24.3
47,2,32.8
48,2,15
49,2,11.5
50,2,10.8
51,2,15.3
52,2,16.1
53,2,17.5
54,2,21.9
55,2,25.8
56,2,13
57,2,8.6
58,2,12.7
59,2,13
60,2,14.9
61,2,18.1
62,2,24.3
63,2,30.9
64,2,12.1
65,2,10.2
66,2,7
67,2,10.2
68,2,12.4
69,2,15.3
70,2,21.4
71,2,28.3
72,2,10.4
73,2,6.9
74,2,6
75,2,10.2
76,2,12.3
77,2,18.3
78,2,25
79,2,27.9
80,2,12.5
81,2,7.9
82,2,3.9
83,2,11.5
84,2,10.2
85,2,16
86,2,21.9
87,2,27.9
88,2,46.3
89,2,11.5
90,2,5.7
91,2,2.2
92,2,6
93,2,12.8
94,2,18.9
95,2,26.3
96,2,48
97,2,13.2
98,2,8.1
99,2,2.8
100,2,4.5
101,2,9.8
102,2,15.6
103,2,25.1
104,2,28.2
105,2,48
106,2,11.4
107,2,9.9
108,2,1.4
109,2,7.8
110,2,13.1
111,2,18.9
112,2,25.5
113,2,30
114,2,14.8
115,2,9.6
116,2,3.8
117,2,4.3
118,2,10.6
119,2,16.7
120,2,22.8
121,2,29.1
122,2,12.7
123,2,6.2
124,2,5.2
125,2,7.6
126,2,13.9
127,2,20.6
128,2,25.6
129,2,31.3
130,2,13.8
131,2,8.8
132,2,6.8
133,2,6.7
134,2,11.7
135,2,17.5
136,2,22.9
137,2,27.8
138,2,11.1
139,2,9.5
140,2,13
141,2,9.8
142,2,13.9
143,2,20
144,2,27.8
145,2,32.7
146,2,12.4
147,2,10.2
148,2,12.1
149,2,14.6
150,2,16.4
151,2,24
152,2,26.8
153,2,14.7
154,2,11.7
155,2,11.7
156,2,11.6
157,2,15.9
158,2,19.7
159,2,26.2
160,2,14.6
161,2,12.2
162,2,13.5
163,2,17.2
164,2,19.4
165,2,22.3
166,2,28
167,2,14.2
168,2,16.1
169,2,14.4
170,2,18.4
171,2,21.7
172,2,26.4
173,2,15.3
174,2,18
175,2,16.9
176,2,21.5
177,2,23
178,2,15.4
179,2,18.4
180,2,16.9
181,2,20.6
182,2,23.2
183,2,16.8
184,2,20.3
185,2,21.7
186,2,23.3
187,2,21.4
188,2,18.8
189,2,21.1
1,3,22.2
2,3,24.3
3,3,26.4
4,3,24.8
5,3,21.8
6,3,24.6
7,3,25
8,3,19.1
9,3,19.2
10,3,21.5
11,3,25
12,3,27.1
13,3,14.6
14,3,18.1
15,3,21.6
16,3,21.7
17,3,23.9
18,3,26.9
19,3,15.8
20,3,17.9
21,3,16.9
22,3,19.3
23,3,20.8
24,3,24.9
25,3,25.7
26,3,18.1
27,3,26.5
28,3,15.2
29,3,16.9
30,3,18.2
31,3,21.2
32,3,24.4
33,3,16.9
34,3,14.2
35,3,13.6
36,3,16.3
37,3,17.7
38,3,24.9
39,3,23.5
40,3,16.4
41,3,12.1
42,3,12.5
43,3,13.1
44,3,15.2
45,3,19.3
46,3,21.3
47,3,29.8
48,3,18
49,3,14.6
50,3,9.5
51,3,12.6
52,3,13.1
53,3,14.4
54,3,18.8
55,3,22.7
56,3,15.9
57,3,11.6
58,3,8.7
59,3,10
60,3,11.9
61,3,15
62,3,21.3
63,3,27.8
64,3,15.1
65,3,13.1
66,3,8
67,3,7.2
68,3,9.4
69,3,12.2
70,3,18.4
71,3,25.3
72,3,13.3
73,3,9.8
74,3,4.9
75,3,7.2
76,3,9.3
77,3,15.3
78,3,22
79,3,24.8
80,3,15.4
81,3,10.8
82,3,6.2
83,3,8.4
84,3,7.1
85,3,12.9
86,3,18.8
87,3,24.8
88,3,43.2
89,3,14.4
90,3,8.7
91,3,3.3
92,3,3
93,3,9.7
94,3,15.9
95,3,23.3
96,3,45
97,3,16.1
98,3,11
99,3,5.8
100,3,1.4
101,3,6.7
102,3,12.6
103,3,22.1
104,3,25.2
105,3,45
106,3,14.4
107,3,13
108,3,2.8
109,3,5.6
110,3,10.1
111,3,15.8
112,3,22.5
113,3,26.9
114,3,17.8
115,3,12.6
116,3,5.4
117,3,4.3
118,3,7.5
119,3,13.6
120,3,19.8
121,3,26
122,3,15.8
123,3,9.3
124,3,6.8
125,3,5.6
126,3,10.9
127,3,17.6
128,3,22.6
129,3,28.2
130,3,16.8
131,3,11.9
132,3,8.3
133,3,8
134,3,8.9
135,3,14.5
136,3,19.8
137,3,24.7
138,3,14.2
139,3,11
140,3,14.5
141,3,9.5
142,3,12
143,3,17
144,3,24.7
145,3,29.7
146,3,13.9
147,3,11.7
148,3,13.7
149,3,12.7
150,3,14.5
151,3,21
152,3,23.7
153,3,16.1
154,3,13.2
155,3,13.2
156,3,12.8
157,3,13.9
158,3,16.6
159,3,23.1
160,3,16.1
161,3,13.8
162,3,14.7
163,3,15.2
164,3,17.5
165,3,19.2
166,3,25
167,3,15.8
168,3,17.6
169,3,15.6
170,3,16.5
171,3,19.7
172,3,23.3
173,3,16.8
174,3,19.2
175,3,18.1
176,3,19.6
177,3,21
178,3,17
179,3,19.5
180,3,18.1
181,3,19.9
182,3,21.3
183,3,18.3
184,3,21.6
185,3,22.9
186,3,22.1
187,3,22.6
188,3,20
189,3,22.3
1,4,21.1
2,4,23.6
3,4,24.9
4,4,23.7
5,4,20.7
6,4,23.1
7,4,23.6
8,4,17.8
9,4,18.1
10,4,20.1
11,4,23.5
12,4,25.6
13,4,13.5
14,4,17
15,4,20.5
16,4,20.3
17,4,22.4
18,4,25.4
19,4,18
20,4,16.6
21,4,15.8
22,4,17.8
23,4,19.3
24,4,23.4
25,4,24.2
26,4,20.3
27,4,28.7
28,4,14.1
29,4,15.8
30,4,16.7
31,4,19.7
32,4,22.9
33,4,19.1
34,4,13
35,4,12.4
36,4,14.9
37,4,16.3
38,4,23.4
39,4,22.1
40,4,19.6
41,4,14.2
42,4,11.3
43,4,11.6
44,4,13.7
45,4,17.8
46,4,19.8
47,4,28.3
48,4,21.1
49,4,16.8
50,4,11.7
51,4,11.5
52,4,11.6
53,4,13
54,4,17.3
55,4,21.3
56,4,19.4
57,4,13.7
58,4,7.6
59,4,8.5
60,4,10.4
61,4,13.6
62,4,19.8
63,4,24.3
64,4,17.5
65,4,15.9
66,4,10.2
67,4,6
68,4,7.9
69,4,10.7
70,4,18.5
71,4,21.7
72,4,15.8
73,4,12.6
74,4,7
75,4,5.7
76,4,7.8
77,4,14.6
78,4,18.4
79,4,21.3
80,4,17.9
81,4,13.3
82,4,9
83,4,7.3
84,4,5.6
85,4,12.8
86,4,15.3
87,4,21.3
88,4,39.9
89,4,16.8
90,4,11.1
91,4,6.8
92,4,0.6
93,4,6.1
94,4,12.3
95,4,19.7
96,4,41.7
97,4,18.5
98,4,13.4
99,4,9.3
100,4,3.9
101,4,3.2
102,4,9
103,4,18.5
104,4,21.6
105,4,41.7
106,4,16.8
107,4,16.5
108,4,6.3
109,4,7.6
110,4,6.5
111,4,12.3
112,4,18.9
113,4,23.3
114,4,20.2
115,4,16.2
116,4,8.9
117,4,7.6
118,4,3.9
119,4,10.1
120,4,16.2
121,4,22.5
122,4,19.3
123,4,12.8
124,4,10.1
125,4,8.8
126,4,7.3
127,4,14
128,4,19
129,4,24.7
130,4,20.4
131,4,15.5
132,4,11.7
133,4,11.2
134,4,11.3
135,4,10.9
136,4,16.3
137,4,21.2
138,4,17.7
139,4,14.4
140,4,17.9
141,4,12.7
142,4,14.1
143,4,13.4
144,4,21.2
145,4,26.1
146,4,17.3
147,4,15.1
148,4,17
149,4,14.8
150,4,16.6
151,4,17.4
152,4,20.2
153,4,19.5
154,4,16.5
155,4,16.6
156,4,16
157,4,16.1
158,4,13.1
159,4,19.5
160,4,19.4
161,4,17.1
162,4,17.9
163,4,17.3
164,4,19.6
165,4,15.7
166,4,21.4
167,4,19.1
168,4,20.8
169,4,18.8
170,4,18.6
171,4,14.2
172,4,19.8
173,4,20.2
174,4,22.4
175,4,21.4
176,4,21.7
177,4,18.3
178,4,20.3
179,4,22.7
180,4,21.3
181,4,22
182,4,16.4
183,4,21.7
184,4,24.8
185,4,26.1
186,4,19.6
187,4,25.8
188,4,23.2
189,4,25.1
1,5,27.1
2,5,29.2
3,5,32.3
4,5,29.7
5,5,26.7
6,5,30.6
7,5,30.5
8,5,22.6
9,5,24.1
10,5,26.8
11,5,30.4
12,5,32.5
13,5,19.5
14,5,23
15,5,26.5
16,5,28.4
17,5,29.3
18,5,32.3
19,5,18.2
20,5,21.4
21,5,21.8
22,5,25.2
23,5,26.2
24,5,30.3
25,5,31.1
26,5,17.4
27,5,28.8
28,5,20.1
29,5,21.8
30,5,23.6
31,5,26.6
32,5,29.8
33,5,16.2
34,5,19.1
35,5,18.4
36,5,21.7
37,5,23.2
38,5,30.3
39,5,29
40,5,14.3
41,5,14.4
42,5,16.1
43,5,18.5
44,5,20.6
45,5,24.7
46,5,26.7
47,5,35.2
48,5,15.8
49,5,12.3
50,5,13.1
51,5,17.5
52,5,18.5
53,5,19.9
54,5,24.2
55,5,28.2
56,5,13.8
57,5,10.8
58,5,14.9
59,5,15.4
60,5,17.3
61,5,20.5
62,5,26.7
63,5,33.3
64,5,11.8
65,5,11
66,5,9.2
67,5,12.6
68,5,14.8
69,5,17.6
70,5,23.8
71,5,30.7
72,5,10
73,5,7.7
74,5,8.8
75,5,12.6
76,5,14.7
77,5,20.7
78,5,27.4
79,5,30.3
80,5,11.3
81,5,7.6
82,5,6.1
83,5,13.8
84,5,12.5
85,5,18.4
86,5,24.3
87,5,30.3
88,5,48.7
89,5,10.2
90,5,5.3
91,5,5.8
92,5,8.4
93,5,15.1
94,5,21.3
95,5,28.7
96,5,50.4
97,5,11
98,5,6.8
99,5,3.2
100,5,6.8
101,5,12.1
102,5,18
103,5,27.5
104,5,30.6
105,5,50.4
106,5,8.8
107,5,6.4
108,5,2.7
109,5,10.2
110,5,15.5
111,5,21.3
112,5,27.9
113,5,32.3
114,5,12.2
115,5,6.1
116,5,0.1
117,5,5.9
118,5,12.9
119,5,19
120,5,25.2
121,5,31.5
122,5,9.2
123,5,2.7
124,5,3.3
125,5,9.4
126,5,16.3
127,5,23
128,5,28
129,5,33.7
130,5,10.3
131,5,5.4
132,5,3.3
133,5,7.5
134,5,13.7
135,5,19.9
136,5,25.3
137,5,30.1
138,5,7.7
139,5,6.1
140,5,10.5
141,5,10.7
142,5,16.1
143,5,22.4
144,5,30.2
145,5,35.1
146,5,8.9
147,5,7.3
148,5,9.6
149,5,17
150,5,18.6
151,5,26.4
152,5,29.1
153,5,11.2
154,5,8.2
155,5,9.2
156,5,12.5
157,5,18.1
158,5,22
159,5,28.5
160,5,11.1
161,5,9.7
162,5,12
163,5,18
164,5,21.6
165,5,24.7
166,5,30.4
167,5,11.2
168,5,13.6
169,5,15.2
170,5,20.6
171,5,23.8
172,5,28.8
173,5,12.8
174,5,17.9
175,5,17.8
176,5,23.7
177,5,25.2
178,5,12.9
179,5,15.9
180,5,16.8
181,5,21.5
182,5,25.4
183,5,14.3
184,5,20.2
185,5,22.6
186,5,24.1
187,5,19.7
188,5,18.7
189,5,21.9
1,6,26.6
2,6,28.8
3,6,30.8
4,6,29.3
5,6,26.2
6,6,29.1
7,6,29.5
8,6,23.4
9,6,23.7
10,6,26
11,6,29.4
12,6,31.5
13,6,19.1
14,6,22.5
15,6,26.1
16,6,26.2
17,6,28.3
18,6,31.3
19,6,20.2
20,6,22.2
21,6,21.4
22,6,23.8
23,6,25.2
24,6,29.4
25,6,30.1
26,6,22.5
27,6,30.9
28,6,19.7
29,6,21.4
30,6,22.6
31,6,25.6
32,6,28.9
33,6,21.3
34,6,18.6
35,6,18
36,6,20.8
37,6,22.2
38,6,29.3
39,6,28
40,6,20.1
41,6,16.5
42,6,16.9
43,6,17.6
44,6,19.6
45,6,23.8
46,6,25.7
47,6,34.2
48,6,21.7
49,6,18.1
50,6,13.9
51,6,17.1
52,6,17.5
53,6,18.9
54,6,23.3
55,6,27.2
56,6,19.6
57,6,14.6
58,6,13.1
59,6,14.4
60,6,16.4
61,6,19.5
62,6,25.7
63,6,32.3
64,6,18.8
65,6,16.8
66,6,12.4
67,6,11.6
68,6,13.8
69,6,16.7
70,6,22.8
71,6,29.7
72,6,17
73,6,13.5
74,6,9.3
75,6,11.6
76,6,13.8
77,6,19.8
78,6,26.4
79,6,29.3
80,6,19.2
81,6,14.5
82,6,9.9
83,6,12.9
84,6,11.6
85,6,17.4
86,6,23.3
87,6,29.3
88,6,47.7
89,6,18.1
90,6,12.4
91,6,7
92,6,7.5
93,6,14.2
94,6,20.3
95,6,27.8
96,6,49.5
97,6,19.8
98,6,14.7
99,6,9.5
100,6,5
101,6,11.2
102,6,17
103,6,26.5
104,6,29.6
105,6,49.5
106,6,17.3
107,6,14.9
108,6,5.9
109,6,2.8
110,6,14.5
111,6,20.3
112,6,26.9
113,6,31.4
114,6,20.7
115,6,14.6
116,6,8.5
117,6,2.7
118,6,12
119,6,18.1
120,6,24.2
121,6,30.5
122,6,17.7
123,6,11.7
124,6,6.3
125,6,0.8
126,6,15.3
127,6,22.1
128,6,27.1
129,6,32.7
130,6,18.2
131,6,13.5
132,6,9.1
133,6,3.2
134,6,4.7
135,6,18.9
136,6,24.3
137,6,29.2
138,6,15.1
139,6,11
140,6,11.6
141,6,4.6
142,6,7.2
143,6,21.4
144,6,29.2
145,6,34.1
146,6,13
147,6,8.8
148,6,10.7
149,6,7.8
150,6,9.6
151,6,25.4
152,6,28.2
153,6,15.2
154,6,11.5
155,6,10.3
156,6,8
157,6,9.1
158,6,16.1
159,6,27.6
160,6,14.1
161,6,10.8
162,6,9.9
163,6,10.4
164,6,12.7
165,6,18.7
166,6,29.4
167,6,12.8
168,6,12.8
169,6,10.8
170,6,11.7
171,6,14.9
172,6,27.8
173,6,13.9
174,6,14.4
175,6,13.3
176,6,14.7
177,6,16.2
178,6,14
179,6,14.7
180,6,13.3
181,6,15
182,6,16.5
183,6,15.4
184,6,16.7
185,6,18.1
186,6,17.2
187,6,17.8
188,6,15.2
189,6,17.5
1,7,20.3
2,7,22.2
3,7,23.6
4,7,23
5,7,19.9
6,7,21.8
7,7,22.2
8,7,17.1
9,7,17.3
10,7,18.7
11,7,22.2
12,7,24.2
13,7,12.7
14,7,16.2
15,7,19.7
16,7,18.9
17,7,21
18,7,24.1
19,7,17.2
20,7,15.9
21,7,15
22,7,16.5
23,7,18
24,7,22.1
25,7,22.9
26,7,19.5
27,7,27.9
28,7,13.4
29,7,15
30,7,15.4
31,7,18.4
