"ID_ORIG","ID_DEST","dur_foot"
1,1,33.2
2,1,36.4
3,1,41.7
4,1,41.6
5,1,34.8
6,1,38.9
7,1,43.1
8,1,38.2
9,1,37.5
10,1,35.7
11,1,40.9
12,1,7.2
13,1,35
14,1,39.6
15,1,35
16,1,38
17,1,42.7
18,1,7.3
19,1,31.6
20,1,36.8
21,1,41.4
22,1,35.9
23,1,12.7
24,1,7.1
25,1,4.2
26,1,31.1
27,1,30.3
28,1,39.6
29,1,18.6
30,1,13.4
31,1,7.4
32,1,5.3
33,1,29.9
34,1,24.8
35,1,18.6
36,1,16.5
37,1,11.4
38,1,6
39,1,2.7
40,1,30.9
41,1,27.3
42,1,21
43,1,16.9
44,1,12.2
45,1,7.4
46,1,2.7
47,1,1.5
48,1,31.8
49,1,28.7
50,1,23.4
51,1,18.6
52,1,14.2
53,1,10.7
54,1,5.8
55,1,0.6
56,1,30.7
57,1,25.8
58,1,21.4
59,1,17.7
60,1,13.4
61,1,8.8
62,1,4.9
63,1,2.8
64,1,33.6
65,1,29
66,1,33.4
67,1,21
68,1,17.7
69,1,14.8
70,1,8.4
71,1,6
72,1,32.9
73,1,31.6
74,1,24.2
75,1,23
76,1,15.7
77,1,11.6
78,1,7.4
79,1,6.7
80,1,35.9
81,1,46.1
82,1,27.1
83,1,25.3
84,1,19.4
85,1,16.9
86,1,10.8
87,1,8.2
88,1,8.4
89,1,35.3
90,1,33.6
91,1,27.8
92,1,22.8
93,1,18.2
94,1,15.2
95,1,9.5
96,1,9.8
97,1,37.6
98,1,43.5
99,1,29.7
100,1,26.8
101,1,21.5
102,1,17.7
103,1,12.9
104,1,10.4
105,1,11.5
106,1,41.2
107,1,37
108,1,30.8
109,1,25.4
110,1,20.4
111,1,15.7
112,1,12.6
113,1,12.9
114,1,41.7
115,1,40.8
116,1,34.2
117,1,28.7
118,1,24.2
119,1,22.8
120,1,24.5
121,1,13
122,1,41.3
123,1,37.3
124,1,31.5
125,1,27.4
126,1,24.2
127,1,18.5
128,1,23.3
129,1,16.1
130,1,43
131,1,40.7
132,1,35.2
133,1,31.1
134,1,26.9
135,1,23.1
136,1,22.2
137,1,18.7
138,1,45.5
139,1,40.6
140,1,34.1
141,1,32.1
142,1,25.7
143,1,20.6
144,1,18.2
145,1,20.3
146,1,43.4
147,1,37.1
148,1,33
149,1,30.1
150,1,23.1
151,1,23
152,1,21.5
153,1,48.1
154,1,40.1
155,1,37
156,1,30.4
157,1,28.2
158,1,27.8
159,1,20.2
160,1,45.1
161,1,39.7
162,1,32.4
163,1,30.9
164,1,28.8
165,1,25.9
166,1,24.2
167,1,44.1
168,1,33.9
169,1,33.5
170,1,30
171,1,27.2
172,1,22.6
173,1,43.5
174,1,40.7
175,1,33.5
176,1,31.8
177,1,29.5
178,1,44
179,1,35
180,1,34.8
181,1,33.3
182,1,30.6
183,1,35.4
184,1,39.1
185,1,36.7
186,1,33
187,1,40.8
188,1,37.7
189,1,34.1
1,2,37.4
2,2,43.2
3,2,48.5
4,2,34.7
5,2,41.6
6,2,45.7
7,2,49.9
8,2,31.2
9,2,44.2
10,2,42.4
11,2,47.7
12,2,13
13,2,28
14,2,32.6
15,2,41.8
16,2,44.8
17,2,49.4
18,2,13.1
19,2,24.6
20,2,29.9
21,2,34.4
22,2,42.6
23,2,5.1
24,2,12.9
25,2,10
26,2,24.1
27,2,23.4
28,2,32.6
29,2,11
30,2,5.8
31,2,3.8
32,2,11.1
33,2,22.9
34,2,17.2
35,2,11
36,2,8.9
37,2,3.8
38,2,5.2
39,2,9.2
40,2,23.9
41,2,20.3
42,2,13.4
43,2,9.3
44,2,4.6
45,2,1.6
46,2,6.1
47,2,9.6
48,2,23.9
49,2,20.8
50,2,15.8
51,2,10.7
52,2,6.2
53,2,2.8
54,2,3.7
55,2,8.8
56,2,22.8
57,2,17.9
58,2,13.5
59,2,9.7
60,2,5.4
61,2,3.2
62,2,7.1
63,2,11
64,2,25.7
65,2,21.1
66,2,25.5
67,2,13.1
68,2,9.8
69,2,6.6
70,2,6.3
71,2,11.3
72,2,25
73,2,23.6
74,2,16.2
75,2,15
76,2,7.8
77,2,5.4
78,2,10
79,2,13.6
80,2,28
81,2,38.2
82,2,19.2
83,2,17.4
84,2,11.5
85,2,9
86,2,9.4
87,2,13.8
88,2,15.3
89,2,27.4
90,2,25.7
91,2,19.9
92,2,14.9
93,2,10.3
94,2,8.7
95,2,12.7
96,2,16.7
97,2,29.7
98,2,35.6
99,2,21.8
100,2,18.8
101,2,13.6
102,2,10.8
103,2,10.9
104,2,16.8
105,2,18.3
106,2,33.3
107,2,29.1
108,2,22.9
109,2,17.5
110,2,12.5
111,2,10.3
112,2,14.7
113,2,19.9
114,2,33.7
115,2,32.9
116,2,26.2
117,2,20.7
118,2,16.3
119,2,14.9
120,2,22.4
121,2,18.6
122,2,33.4
123,2,29.4
124,2,23.6
125,2,19.4
126,2,16.3
127,2,16.5
128,2,21.2
129,2,22.5
130,2,35.1
131,2,32.8
132,2,27.3
133,2,23.2
134,2,19
135,2,17.4
136,2,20.1
137,2,22.1
138,2,37.6
139,2,32.7
140,2,26.1
141,2,24.1
142,2,21.7
143,2,18.5
144,2,22.7
145,2,26.7
146,2,35.4
147,2,29.2
148,2,27.3
149,2,22.2
150,2,21.1
151,2,21
152,2,23
153,2,40.2
154,2,32.2
155,2,29.1
156,2,24.6
157,2,26.2
158,2,25.8
159,2,25
160,2,37.1
161,2,31.8
162,2,29.1
163,2,27.2
164,2,26.7
165,2,23.9
166,2,25.8
167,2,36.2
168,2,32
169,2,29.8
170,2,27.5
171,2,25.2
172,2,26.1
173,2,35.5
174,2,33.7
175,2,31
176,2,29.7
177,2,27.4
178,2,36.1
179,2,27.8
180,2,32.4
181,2,30.9
182,2,28.5
183,2,28.2
184,2,32.1
185,2,34.3
186,2,30.9
187,2,33.8
188,2,33.3
189,2,31.6
1,3,36.1
2,3,41.9
3,3,47.2
4,3,33.4
5,3,40.3
6,3,44.4
7,3,48.6
8,3,30
9,3,43
10,3,41.2
11,3,46.4
12,3,13.4
13,3,26.8
14,3,31.4
15,3,40.5
16,3,43.5
17,3,48.2
18,3,13.5
19,3,23.3
20,3,28.6
21,3,33.1
22,3,41.4
23,3,4.5
24,3,13.2
25,3,10.4
26,3,22.8
27,3,22.1
28,3,31.4
29,3,10.3
30,3,5.1
31,3,2.9
32,3,11.4
33,3,21.6
34,3,16.5
35,3,10.3
36,3,8.3
37,3,3.2
38,3,4.3
39,3,9.6
40,3,22.6
41,3,19.1
42,3,12.7
43,3,8.7
44,3,4
45,3,1.6
46,3,6.2
47,3,10.1
48,3,22.9
49,3,19.8
50,3,15.1
51,3,10.9
52,3,6.4
53,3,3
54,3,4.5
55,3,9.3
56,3,22.9
57,3,18
58,3,13.7
59,3,9.9
60,3,5.6
61,3,3.7
62,3,8
63,3,11.6
64,3,25.9
65,3,21.2
66,3,25.6
67,3,13.3
68,3,10
69,3,7.1
70,3,7.2
71,3,12.2
72,3,25.2
73,3,23.8
74,3,16.4
75,3,15.2
76,3,8
77,3,5.9
78,3,10.9
79,3,14.1
80,3,28.1
81,3,38.4
82,3,19.4
83,3,17.6
84,3,11.6
85,3,9.1
86,3,10.2
87,3,14.7
88,3,15.8
89,3,27.5
90,3,25.8
91,3,20
92,3,15
93,3,10.4
94,3,9.1
95,3,13.6
96,3,17.2
97,3,29.8
98,3,35.7
99,3,21.9
100,3,19
101,3,13.7
102,3,11.2
103,3,11.4
104,3,16.7
105,3,18.9
106,3,33.5
107,3,29.2
108,3,23.1
109,3,17.7
110,3,12.7
111,3,10.8
112,3,15.2
113,3,20.3
114,3,33.9
115,3,33
116,3,26.4
117,3,20.9
118,3,16.5
119,3,15.1
120,3,22.9
121,3,19.1
122,3,33.6
123,3,29.5
124,3,23.7
125,3,19.6
126,3,16.4
127,3,16.9
128,3,21.7
129,3,22.1
130,3,35.2
131,3,33
132,3,27.5
133,3,23.4
134,3,19.1
135,3,17.5
136,3,20.6
137,3,22.5
138,3,37.7
139,3,32.8
140,3,26.3
141,3,24.3
142,3,21.8
143,3,19
144,3,23.2
145,3,26.4
146,3,35.6
147,3,29.3
148,3,27.4
149,3,22.3
150,3,21.5
151,3,21.4
152,3,23.4
153,3,40.4
154,3,32.3
155,3,29.2
156,3,24.8
157,3,26.6
158,3,26.2
159,3,25.5
160,3,37.3
161,3,31.9
162,3,29.3
163,3,27.3
164,3,27.2
165,3,24.3
166,3,26.3
167,3,36.4
168,3,32.1
169,3,29.9
170,3,27.7
171,3,25.6
172,3,26.5
173,3,35.7
174,3,33.9
175,3,31.2
176,3,29.8
177,3,27.9
178,3,36.3
179,3,28
180,3,32.5
181,3,31
182,3,29
183,3,28.3
184,3,32.3
185,3,34.4
186,3,31.4
187,3,33.9
188,3,33.5
189,3,31.8
1,4,36.2
2,4,42
3,4,47.3
4,4,33.5
5,4,40.4
6,4,44.5
7,4,48.7
8,4,30.1
9,4,43.1
10,4,41.3
11,4,46.5
12,4,13.1
13,4,26.9
14,4,31.5
15,4,40.6
16,4,43.6
17,4,48.3
18,4,13.2
19,4,23.4
20,4,28.7
21,4,33.2
22,4,41.4
23,4,4.6
24,4,12.9
25,4,10.1
26,4,22.9
27,4,22.2
28,4,31.5
29,4,10.4
30,4,5.2
31,4,2.9
32,4,11.1
33,4,21.7
34,4,16.6
35,4,10.4
36,4,8.3
37,4,3.3
38,4,4.4
39,4,9.3
40,4,22.7
41,4,19.1
42,4,12.8
43,4,8.8
44,4,4.1
45,4,1.1
46,4,5.9
47,4,9.8
48,4,23
49,4,19.9
50,4,15.2
51,4,10.9
52,4,6.5
53,4,3
54,4,4.2
55,4,9
56,4,23
57,4,18.1
58,4,13.8
59,4,10
60,4,5.7
61,4,3.8
62,4,7.7
63,4,11.3
64,4,25.9
65,4,21.3
66,4,25.7
67,4,13.4
68,4,10.1
69,4,7.2
70,4,6.9
71,4,11.9
72,4,25.3
73,4,23.9
74,4,16.5
75,4,15.3
76,4,8.1
77,4,6
78,4,10.6
79,4,13.8
80,4,28.2
81,4,38.5
82,4,19.4
83,4,17.7
84,4,11.7
85,4,9.2
86,4,9.9
87,4,14.4
88,4,15.5
89,4,27.6
90,4,25.9
91,4,20.1
92,4,15.1
93,4,10.5
94,4,9.2
95,4,13.3
96,4,16.9
97,4,29.9
98,4,35.8
99,4,22
100,4,19.1
101,4,13.8
102,4,11.3
103,4,11.5
104,4,16.4
105,4,18.6
106,4,33.5
107,4,29.3
108,4,23.2
109,4,17.8
110,4,12.8
111,4,10.9
112,4,15.3
113,4,20
114,4,34
115,4,33.1
116,4,26.5
117,4,21
118,4,16.6
119,4,15.2
120,4,23
121,4,19.2
122,4,33.7
123,4,29.6
124,4,23.8
125,4,19.7
126,4,16.5
127,4,17
128,4,21.7
129,4,22.1
130,4,35.3
131,4,33.1
132,4,27.6
133,4,23.4
134,4,19.2
135,4,17.6
136,4,20.7
137,4,22.6
138,4,37.8
139,4,32.9
140,4,26.4
141,4,24.4
142,4,21.9
143,4,19.1
144,4,23.3
145,4,26.3
146,4,35.7
147,4,29.4
148,4,27.5
149,4,22.4
150,4,21.6
151,4,21.5
152,4,23.5
153,4,40.5
154,4,32.4
155,4,29.3
156,4,24.8
157,4,26.7
158,4,26.3
159,4,25.6
160,4,37.4
161,4,32
162,4,29.4
163,4,27.4
164,4,27.3
165,4,24.4
166,4,26.4
167,4,36.5
168,4,32.2
169,4,30
170,4,27.8
171,4,25.7
172,4,26.6
173,4,35.8
174,4,34
175,4,31.2
176,4,29.9
177,4,28
178,4,36.4
179,4,28.1
180,4,32.6
181,4,31.1
182,4,29.1
183,4,28.4
184,4,32.4
185,4,34.5
186,4,31.5
187,4,34
188,4,33.6
189,4,31.9
1,5,38
2,5,41.3
3,5,46.6
4,5,46
5,5,39.7
6,5,43.8
7,5,48
8,5,42.6
9,5,42.3
10,5,40.5
11,5,45.8
12,5,12.1
13,5,39.4
14,5,44
15,5,39.9
16,5,42.9
17,5,47.5
18,5,12.2
19,5,35.9
20,5,41.2
21,5,45.7
22,5,40.7
23,5,17.1
24,5,12
25,5,9.1
26,5,35.4
27,5,34.7
28,5,44
29,5,22.9
30,5,17.7
31,5,11.8
32,5,10.1
33,5,34.2
34,5,29.1
35,5,22.9
36,5,20.9
37,5,15.8
38,5,10.3
39,5,7.8
40,5,35.2
41,5,31.6
42,5,25.3
43,5,21.3
44,5,16.6
45,5,11.7
46,5,7.1
47,5,8.1
48,5,36.2
49,5,33.1
50,5,27.7
51,5,23
52,5,18.5
53,5,15.1
54,5,9.3
55,5,7.6
56,5,35.1
57,5,30.2
58,5,25.8
59,5,22
60,5,14.2
61,5,10.2
62,5,9.3
63,5,5.4
64,5,38
65,5,33.3
66,5,37.7
67,5,25
68,5,19.8
69,5,10.4
70,5,6.7
71,5,1.7
72,5,37.3
73,5,35.9
74,5,28.5
75,5,22.3
76,5,12.6
77,5,7.5
78,5,3.1
79,5,2
80,5,40.3
81,5,42.7
82,5,31.5
