"ID_ORIG","ID_DEST","dur_foot"
1,1,29.3
2,1,32.7
3,1,35.8
4,1,28
5,1,31.4
6,1,32.8
7,1,36.6
8,1,28.9
9,1,27.4
10,1,30.6
11,1,33.8
12,1,26.8
13,1,29.9
14,1,27.5
15,1,28.1
16,1,31
17,1,33.7
18,1,26.9
19,1,22.1
20,1,26.9
21,1,26.5
22,1,28.3
23,1,30.7
24,1,26.5
25,1,36.3
26,1,23
27,1,22.1
28,1,23.2
29,1,26.2
30,1,27.7
31,1,26
32,1,35.1
33,1,24.4
34,1,24.2
35,1,22.4
36,1,24.4
37,1,25.4
38,1,33
39,1,36
40,1,19.9
41,1,19.2
42,1,20.7
43,1,21.6
44,1,22.1
45,1,30.6
46,1,33.3
47,1,38.4
48,1,18.9
49,1,18.6
50,1,20.8
51,1,20.5
52,1,21.5
53,1,26.4
54,1,30.4
55,1,36.4
56,1,17.6
57,1,16.3
58,1,18
59,1,19.5
60,1,23.3
61,1,28.1
62,1,32.8
63,1,34.3
64,1,16.3
65,1,16.3
66,1,15
67,1,17.3
68,1,19.1
69,1,24.9
70,1,28.1
71,1,32.3
72,1,14.4
73,1,12.9
74,1,14.4
75,1,16.3
76,1,21.2
77,1,24.8
78,1,34
79,1,30.4
80,1,13.7
81,1,13.7
82,1,11.8
83,1,14.5
84,1,18.6
85,1,22.1
86,1,27.6
87,1,32.5
88,1,34.7
89,1,11.5
90,1,10.3
91,1,12.1
92,1,15.5
93,1,19.3
94,1,25.7
95,1,29.6
96,1,33.1
97,1,12.1
98,1,9.5
99,1,7.6
100,1,15.2
101,1,17.2
102,1,21.6
103,1,27.5
104,1,30.3
105,1,35.1
106,1,9.5
107,1,8
108,1,8.3
109,1,13.9
110,1,16
111,1,26
112,1,25.6
113,1,33.4
114,1,10.8
115,1,6.8
116,1,5.2
117,1,10.4
118,1,15.3
119,1,19.7
120,1,24.8
121,1,31.9
122,1,8.2
123,1,3.8
124,1,6.4
125,1,11.9
126,1,16.8
127,1,22.8
128,1,29.2
129,1,31.9
130,1,9.6
131,1,5
132,1,3.1
133,1,9.6
134,1,12.4
135,1,21
136,1,27.3
137,1,29.6
138,1,7
139,1,1.5
140,1,5.4
141,1,10.8
142,1,19.1
143,1,25
144,1,27.5
145,1,30.6
146,1,4.7
147,1,2.1
148,1,8
149,1,14.6
150,1,21.9
151,1,35.7
152,1,38.6
153,1,6.7
154,1,4.1
155,1,5.6
156,1,11.5
157,1,24.3
158,1,31
159,1,38.1
160,1,6.2
161,1,4.7
162,1,9.1
163,1,14.9
164,1,26.9
165,1,40.3
166,1,40.8
167,1,7
168,1,8.2
169,1,12.8
170,1,19.2
171,1,33
172,1,41.1
173,1,8.2
174,1,11.9
175,1,15.3
176,1,22.9
177,1,46.8
178,1,9.5
179,1,9.5
180,1,13.8
