"ID_ORIG","ID_DEST","dur_foot"
1,1,13.1
2,1,13.5
3,1,12.6
4,1,13.7
5,1,12.9
6,1,11.2
7,1,12.1
8,1,13.9
9,1,10.2
10,1,10.7
11,1,10.7
12,1,12.2
13,1,16.2
14,1,12.5
15,1,9
16,1,9.3
17,1,10.3
18,1,13.2
19,1,16.9
20,1,13.8
21,1,10.8
22,1,7.6
23,1,7.7
24,1,11.4
25,1,16.2
26,1,19.1
27,1,15.6
28,1,10.1
29,1,5.9
30,1,6.1
31,1,8.6
32,1,14.1
33,1,19.1
34,1,11.9
35,1,7.5
36,1,4.2
37,1,6.2
38,1,11.7
39,1,14.9
40,1,18.6
41,1,14.4
42,1,8.9
43,1,4.1
44,1,3.3
45,1,8
46,1,12.3
47,1,15.5
48,1,19.8
49,1,17.6
50,1,12.1
51,1,6.3
52,1,2.3
53,1,6.1
54,1,9.7
55,1,15.3
56,1,18.6
57,1,14.1
58,1,8.7
59,1,4.2
60,1,2.1
61,1,6.8
62,1,12.3
63,1,17.4
64,1,21.1
65,1,16.9
66,1,11.9
67,1,6.5
68,1,5
69,1,4.7
70,1,9.1
71,1,16.5
72,1,20.5
73,1,14.2
74,1,10.5
75,1,5.2
76,1,4.5
77,1,8.5
78,1,12.5
79,1,17.1
80,1,21.1
81,1,17.1
82,1,12
83,1,8.7
84,1,5.1
85,1,6.7
86,1,12.9
87,1,14.2
88,1,18.8
89,1,20
90,1,14.6
91,1,12.8
92,1,7.9
93,1,7.6
94,1,10.2
95,1,15.5
96,1,19.6
97,1,21.8
98,1,19.4
99,1,15.4
100,1,11.9
101,1,7.9
102,1,9.6
103,1,12.6
104,1,17.7
105,1,21.9
106,1,22.6
107,1,17.5
108,1,14.6
109,1,10.5
110,1,9.7
111,1,13.2
112,1,15.8
113,1,20.3
114,1,21.5
115,1,20
116,1,19.1
117,1,12.2
118,1,11.5
119,1,12.6
120,1,15.1
121,1,18.2
122,1,21.5
123,1,19.7
124,1,14.9
125,1,11.9
126,1,12.4
127,1,17.6
128,1,16.5
129,1,20.5
130,1,21.6
131,1,22.4
132,1,18.4
133,1,15.9
134,1,14.6
135,1,15.5
136,1,19.7
137,1,21.3
138,1,24.8
139,1,21.1
140,1,19.3
141,1,15.4
142,1,17.9
143,1,26.5
144,1,27.4
145,1,22.9
146,1,24
147,1,21.3
148,1,17.3
149,1,16.7
150,1,18
151,1,25.5
152,1,30.1
153,1,26.1
154,1,25.1
155,1,19.8
156,1,18.2
157,1,19.3
158,1,21.3
159,1,26.5
160,1,26.1
161,1,24.9
162,1,19.9
163,1,21.4
164,1,22
165,1,24.2
166,1,27.9
167,1,26.9
168,1,23
169,1,23.1
170,1,22.5
171,1,22.6
172,1,26.7
173,1,26.8
174,1,25.2
175,1,24.9
176,1,24.4
177,1,25
178,1,27.8
179,1,25.8
180,1,24.3
181,1,25.2
182,1,26.2
183,1,26.9
184,1,26.3
185,1,26.8
186,1,26
187,1,27.6
188,1,26.9
189,1,27.3
1,2,18.1
2,2,18.5
3,2,17.3
4,2,19.4
5,2,17.9
6,2,15.9
7,2,16.8
8,2,17.9
9,2,15.2
10,2,15.7
11,2,15.4
12,2,17.3
13,2,19.2
14,2,16.6
15,2,14
16,2,14.3
17,2,15
18,2,16.1
19,2,19.8
20,2,16.7
21,2,14.8
22,2,12.6
23,2,12.4
24,2,15.2
25,2,16.2
26,2,22.1
27,2,18.5
28,2,14.4
29,2,10.8
30,2,10.8
31,2,12.7
32,2,15.7
33,2,22
34,2,14.8
35,2,11.5
36,2,9.1
37,2,10.3
38,2,13.3
39,2,15.7
40,2,21.5
41,2,17.3
42,2,11.9
43,2,8
44,2,7.4
45,2,9.9
46,2,12.3
47,2,15.5
48,2,22.4
49,2,20.3
50,2,15
51,2,9.3
52,2,6.6
53,2,10.2
54,2,9.7
55,2,15.8
56,2,21.2
