"ID_ORIG","ID_DEST","dur_foot"
1,1,3.7
2,1,7.3
3,1,11.3
4,1,3.5
5,1,4
6,1,9.5
7,1,15.2
8,1,6.1
9,1,0.9
10,1,6.9
11,1,11.8
12,1,16.4
13,1,8.9
14,1,3
15,1,3.4
16,1,9.6
17,1,14.3
18,1,21.5
19,1,11.7
20,1,8.8
21,1,2.2
22,1,6.2
23,1,12.6
24,1,18.8
25,1,23.9
26,1,14.3
27,1,11.2
28,1,5.7
29,1,5.3
30,1,9.5
31,1,15.9
32,1,22.4
33,1,13.7
34,1,10.3
35,1,5.6
36,1,8.6
37,1,13.8
38,1,19
39,1,24.3
40,1,18.3
41,1,13.1
42,1,8.5
43,1,7.6
44,1,10.4
45,1,15.5
46,1,22.5
47,1,26.9
48,1,19.4
49,1,16.6
50,1,11.3
51,1,9.8
52,1,12.7
53,1,14.3
54,1,18.2
55,1,25.6
56,1,20.3
57,1,14.2
58,1,12
59,1,10.3
60,1,13.3
61,1,17.7
62,1,21.5
63,1,26.2
64,1,23.1
65,1,23.1
66,1,14.8
67,1,12
68,1,13.3
69,1,15.6
70,1,19.6
71,1,25.3
72,1,24.4
73,1,17.3
74,1,15.3
75,1,14.2
76,1,16.6
77,1,19.9
78,1,23.6
79,1,28.1
80,1,26
81,1,20.2
82,1,17
83,1,15.6
84,1,15.6
85,1,18.4
86,1,20.9
87,1,25.1
88,1,30.2
89,1,22.9
90,1,27
91,1,17.3
92,1,17.7
93,1,19.3
94,1,20.4
95,1,23.9
96,1,28
97,1,28.5
98,1,24.2
99,1,20.3
100,1,18
101,1,17.9
102,1,21.8
103,1,25.1
104,1,30.3
105,1,30.5
106,1,27
107,1,29.5
108,1,20.7
109,1,20.2
110,1,21.7
111,1,23.9
112,1,28.1
113,1,32.3
114,1,33.5
115,1,28.2
116,1,22.5
117,1,21.6
118,1,20.4
119,1,23.1
120,1,27.3
121,1,30.7
122,1,33.8
123,1,27
124,1,24.2
125,1,22.5
126,1,23.7
127,1,28
128,1,28.3
129,1,34.7
130,1,35.6
131,1,31.8
132,1,24.7
133,1,24.9
134,1,25.5
135,1,27
136,1,29.5
137,1,32.3
138,1,34.5
139,1,29.7
140,1,27.7
141,1,25.6
142,1,25.3
143,1,32
144,1,32.7
145,1,34.2
146,1,33.3
147,1,31.8
148,1,26.5
149,1,28.2
150,1,29.2
151,1,30.6
152,1,37.2
153,1,34.1
154,1,32.9
155,1,29.8
156,1,28.1
157,1,28
158,1,31.3
159,1,33.4
160,1,37.3
161,1,34.8
162,1,32.9
163,1,28.7
164,1,31.4
165,1,33.4
166,1,37.6
167,1,36.9
168,1,32.3
169,1,34.6
170,1,35.6
171,1,33.4
172,1,35.6
173,1,37.4
174,1,33.7
175,1,37.4
176,1,34.2
177,1,36.1
178,1,38.9
179,1,34.5
180,1,37
181,1,39.7
182,1,36.4
183,1,39.3
184,1,36.7
185,1,44.8
186,1,37.3
187,1,34.8
188,1,38.5
189,1,39
1,2,3.4
2,2,7
3,2,11
4,2,3.2
5,2,3.7
6,2,9.2
7,2,14.9
8,2,5.8
9,2,0.6
10,2,6.6
11,2,11.5
12,2,16.1
13,2,8.7
14,2,3.3
15,2,3.6
16,2,9.7
17,2,14
18,2,21.2
19,2,11.4
20,2,8.6
21,2,2.5
22,2,6.4
23,2,12.7
24,2,18.5
25,2,23.6
26,2,14
27,2,10.9
28,2,6
29,2,5.5
30,2,9.8
31,2,16.1
32,2,22.6
33,2,13.4
34,2,10.6
35,2,5.9
36,2,8.9
37,2,14
38,2,18.7
39,2,24.5
40,2,18.1
41,2,13.4
42,2,8.8
43,2,7.9
44,2,10.7
45,2,15.7
46,2,23.3
47,2,27
48,2,19.1
