"ID_ORIG","ID_DEST","dur_foot"
1,1,12.9
2,1,16.6
3,1,22.5
4,1,9
5,1,13.1
6,1,19.8
7,1,25.5
8,1,7.8
9,1,11.4
10,1,15.7
11,1,20
12,1,29.6
13,1,5.3
14,1,7
15,1,11.9
16,1,18.8
17,1,23.5
18,1,30.7
19,1,3.6
20,1,4.8
21,1,9.9
22,1,15.4
23,1,22.6
24,1,28.9
25,1,32.8
26,1,4.4
27,1,3
28,1,6.8
29,1,12.4
30,1,17.6
31,1,25.8
32,1,30.5
33,1,3.8
34,1,2.8
35,1,8.7
36,1,14.7
37,1,21.3
38,1,28.2
39,1,34
40,1,7
41,1,1.5
42,1,7
43,1,12.4
44,1,18.4
45,1,26.1
46,1,32.8
47,1,37.2
48,1,7.9
49,1,4.8
50,1,5.2
51,1,9.4
52,1,15.3
53,1,22.2
54,1,29.1
55,1,34
56,1,7.9
57,1,4.6
58,1,8.8
59,1,12.3
60,1,18.1
61,1,30.6
62,1,31.3
63,1,35.9
64,1,10.4
65,1,7
66,1,7.3
67,1,10.7
68,1,16.6
69,1,26.4
70,1,29.5
71,1,36.9
72,1,10
73,1,7.9
74,1,10.6
75,1,14.4
76,1,21.9
77,1,28.6
78,1,34.2
79,1,38.8
80,1,13.1
81,1,10.9
82,1,10.2
83,1,13.7
84,1,16.9
85,1,24.8
86,1,31.4
87,1,36.4
88,1,40.8
89,1,13.1
90,1,12.1
91,1,12.3
92,1,17
93,1,21.3
94,1,28.3
95,1,34
96,1,41.9
97,1,15.7
98,1,13.8
99,1,14.5
100,1,15.4
101,1,19.4
102,1,25.2
103,1,32.7
104,1,35.9
105,1,41
106,1,16.1
107,1,14.5
108,1,16.1
109,1,18.1
110,1,26.6
111,1,27.7
112,1,35.3
113,1,38.7
114,1,18.9
115,1,17.1
116,1,16.8
117,1,19.3
118,1,21.5
119,1,26.9
120,1,33.5
121,1,40.4
122,1,19.9
123,1,17.5
124,1,19.4
125,1,20.8
126,1,24.5
127,1,29.9
128,1,36.6
129,1,42.1
130,1,21.5
131,1,21.9
132,1,18.8
133,1,23.4
134,1,22.9
135,1,28.3
136,1,34.5
137,1,40.1
138,1,22.5
139,1,21.9
140,1,21.2
141,1,24.6
142,1,27.3
143,1,32.1
144,1,38.5
145,1,44.5
146,1,25.2
147,1,21.6
148,1,25
149,1,26.5
150,1,32.2
151,1,34.8
152,1,42.9
153,1,25.6
154,1,23.6
155,1,24.5
156,1,28.2
157,1,29.1
158,1,35.7
159,1,37.8
160,1,26.3
161,1,25.5
162,1,26.6
163,1,31.4
164,1,34.1
165,1,36.7
166,1,39.7
167,1,27.5
168,1,27.1
169,1,31.3
170,1,33.4
171,1,36.2
172,1,41.2
173,1,28.7
174,1,30.3
175,1,33.8
176,1,37.8
177,1,42.2
178,1,30.5
179,1,29.1
180,1,37.3
181,1,36.4
182,1,42.2
183,1,30.7
184,1,33.1
185,1,36.2
186,1,40.7
187,1,31.5
188,1,36.3
189,1,38.8
1,2,22.7
2,2,21.9
3,2,21.9
4,2,20.3
5,2,21.3
6,2,23.1
7,2,22.2
8,2,19.2
9,2,20.5
10,2,21
11,2,19.9
12,2,24.3
13,2,18.7
14,2,16.8
15,2,17.7
16,2,19.1
17,2,21.6
18,2,24.7
19,2,19.9
20,2,18.3
21,2,15.6
22,2,17.6
23,2,16.6
24,2,22.9
25,2,26.8
26,2,20.9
27,2,17.1
28,2,14.3
29,2,15.1
30,2,15.7
31,2,19.8
32,2,24.5
33,2,19.6
34,2,14.5
35,2,13.2
36,2,13.6
37,2,15.3
38,2,21
39,2,26.1
40,2,21.1
41,2,15.4
42,2,11.1
43,2,13.2
44,2,11.3
45,2,16.4
46,2,22.5
47,2,27.5
48,2,20.5
49,2,16.9
50,2,12
51,2,9.5
52,2,9.2
53,2,11.2
54,2,18.8
55,2,23.7
56,2,19.5
57,2,14.3
58,2,9.4
59,2,7.6
60,2,8.1
61,2,14.4
62,2,21
63,2,25.6
64,2,20.7
65,2,17
66,2,10.5
67,2,5.6
68,2,6.3
69,2,10.2
70,2,19.2
71,2,20.6
72,2,20
73,2,14.1
74,2,7.3
75,2,3.8
76,2,5.6
77,2,12.4
78,2,17.9
79,2,22.6
80,2,21.3
81,2,16.2
82,2,10.7
83,2,4.1
84,2,3.5
85,2,8.6
86,2,15.1
87,2,20.2
88,2,24.5
89,2,19.1
90,2,12.8
91,2,6.8
92,2,1
93,2,5
94,2,12
95,2,17.8
96,2,25.7
97,2,22.4
98,2,15.9
99,2,9.5
100,2,4.1
101,2,3.2
102,2,9
103,2,16.5
104,2,19.7
105,2,24.7
106,2,19.2
107,2,12.7
108,2,7.1
109,2,4.3
110,2,11.4
111,2,11.4
112,2,19.1
113,2,22.4
114,2,19.6
115,2,15.5
116,2,10.2
117,2,7.5
118,2,7.6
119,2,12.9
120,2,19.5
121,2,24.2
122,2,21
123,2,13.1
124,2,10.8
125,2,7.9
126,2,11.1
127,2,16
128,2,22.6
129,2,25.7
130,2,21.7
131,2,17.6
132,2,13.8
133,2,11.7
134,2,9.9
135,2,14.8
136,2,20.5
137,2,26.2
138,2,20.5
139,2,16.8
140,2,14.3
141,2,11.7
142,2,13.9
143,2,18.1
144,2,24.5
145,2,28.9
146,2,20.2
147,2,16.6
148,2,18.1
149,2,13.6
150,2,18.7
151,2,20.8
152,2,28.9
153,2,22.2
154,2,18.6
155,2,17.6
156,2,15.4
157,2,16.2
158,2,21.8
159,2,23.8
160,2,21.3
161,2,20.5
162,2,19.6
163,2,18.5
164,2,22
165,2,22.7
166,2,25.7
167,2,22.5
168,2,20.2
169,2,18.4
170,2,20.5
171,2,22.8
172,2,27.2
173,2,23.7
174,2,20.3
175,2,20.9
176,2,25
177,2,28.3
178,2,25.5
179,2,23.3
180,2,24.4
181,2,23.5
182,2,28.8
183,2,24.8
184,2,24.1
185,2,23.3
186,2,27.8
187,2,25.6
188,2,30.4
189,2,25.9
1,3,16.8
2,3,20.2
3,3,26.1
4,3,11.3
5,3,16.7
6,3,23.4
7,3,29.2
8,3,9.1
9,3,15.1
10,3,19.4
11,3,23.6
12,3,33.3
13,3,5.8
14,3,10.7
15,3,15.5
16,3,22.5
17,3,27.1
18,3,34.4
19,3,0.7
20,3,7.1
21,3,13.5
22,3,19
23,3,26.3
24,3,32.6
25,3,36.4
26,3,2.6
27,3,4.2
28,3,10.4
29,3,16
30,3,21.2
31,3,29.5
32,3,34.2
33,3,3.5
34,3,6.4
35,3,12.3
36,3,18.3
37,3,25
38,3,31.8
39,3,37.7
40,3,6.8
41,3,4.9
42,3,10.7
43,3,16
44,3,22.1
45,3,29.7
46,3,36.5
47,3,40.8
48,3,8.1
49,3,7.3
50,3,8.8
51,3,13
52,3,18.9
53,3,25.9
54,3,32.8
55,3,37.6
56,3,8.7
57,3,8
58,3,12.4
59,3,15.9
60,3,21.8
61,3,34.3
62,3,34.9
63,3,39.5
64,3,11.2
65,3,9.5
66,3,10.8
67,3,14.4
68,3,20.3
69,3,30.1
70,3,33.1
71,3,40.5
72,3,11.1
73,3,11.9
74,3,14
75,3,18.1
76,3,25.5
77,3,32.3
78,3,37.8
79,3,42.4
80,3,14.2
81,3,12.9
82,3,13.7
83,3,17.1
84,3,20.5
85,3,28.5
86,3,35
87,3,40.1
88,3,44.4
89,3,14.2
90,3,15.9
91,3,15.8
92,3,20.6
93,3,24.9
94,3,31.9
95,3,37.6
96,3,45.6
97,3,16.8
98,3,16.9
99,3,17.9
100,3,18.9
101,3,23.1
102,3,28.9
103,3,36.4
104,3,39.6
105,3,44.6
106,3,17.2
107,3,18
108,3,19.5
109,3,21.5
110,3,30.1
111,3,31.3
112,3,39
113,3,42.3
114,3,20
115,3,20.2
116,3,20.3
117,3,22.8
118,3,25
119,3,30.4
120,3,36.9
121,3,43.8
122,3,21.6
123,3,20.9
124,3,22.9
125,3,24.2
126,3,28
127,3,33.4
128,3,40
129,3,45.6
130,3,23.2
131,3,23.6
132,3,22.3
133,3,26.8
134,3,26.4
135,3,31.7
136,3,38
137,3,43.6
138,3,24.2
139,3,25.3
140,3,24.6
141,3,28
142,3,30.8
143,3,35.5
144,3,41.9
145,3,47.9
146,3,27.2
147,3,25
148,3,28.5
149,3,29.9
150,3,35.6
151,3,38.2
152,3,46.4
153,3,27.3
154,3,27.1
155,3,27.9
156,3,31.7
157,3,32.5
158,3,39.2
159,3,41.2
160,3,29.7
161,3,28.9
162,3,30
163,3,34.8
164,3,37.6
165,3,40.1
166,3,43.1
167,3,30.9
168,3,30.6
169,3,34.8
170,3,36.8
171,3,39.6
172,3,44.6
173,3,32.2
174,3,33.7
175,3,37.3
176,3,41.3
177,3,45.7
178,3,33.9
179,3,32.6
180,3,40.7
181,3,39.8
182,3,45.7
183,3,34.2
184,3,36.6
185,3,39.7
186,3,44.2
187,3,34.9
188,3,39.8
189,3,42.3
1,4,14.1
2,4,18.7
3,4,24.6
4,4,9.8
5,4,15.2
6,4,21.9
7,4,27.7
8,4,7.9
9,4,13.6
10,4,17.9
11,4,22.1
12,4,31.8
13,4,4.6
14,4,9.2
15,4,14
16,4,21
17,4,25.6
18,4,32.9
19,4,1.5
20,4,5.6
21,4,12
22,4,17.5
23,4,24.8
24,4,31.1
25,4,34.9
26,4,3.2
27,4,2.8
28,4,8.9
29,4,14.5
30,4,19.7
31,4,28
32,4,32.7
33,4,2.6
34,4,4.9
35,4,10.8
36,4,16.8
37,4,23.5
38,4,30.3
39,4,36.1
40,4,7.1
41,4,3.4
42,4,9.2
43,4,14.5
44,4,20.6
45,4,28.2
46,4,35
47,4,39.3
48,4,8.4
49,4,6
50,4,7.3
51,4,11.5
52,4,17.4
53,4,24.4
54,4,31.3
55,4,36.1
56,4,8.9
57,4,6.5
58,4,10.9
59,4,14.4
60,4,20.3
61,4,32.8
62,4,33.4
63,4,38
64,4,11.7
65,4,8.4
66,4,9.3
67,4,12.9
68,4,18.8
69,4,28.6
70,4,31.6
71,4,39
72,4,11.4
73,4,10.4
74,4,12.5
75,4,16.6
76,4,24
77,4,30.8
78,4,36.3
79,4,40.9
80,4,14.4
81,4,12.2
82,4,12.2
83,4,15.6
84,4,19
85,4,27
86,4,33.5
87,4,38.6
88,4,42.9
89,4,14.5
90,4,14.4
91,4,14.2
92,4,19.1
93,4,23.4
94,4,30.4
95,4,36.1
96,4,44
97,4,17.1
98,4,15.4
99,4,16.4
100,4,17.3
101,4,21.6
102,4,27.4
103,4,34.9
104,4,38.1
105,4,43.1
106,4,17.5
107,4,16.5
108,4,18
109,4,20
110,4,28.6
111,4,29.8
112,4,37.5
113,4,40.8
114,4,20.2
115,4,18.7
116,4,18.8
117,4,21.3
118,4,23.5
119,4,28.9
120,4,35.4
121,4,42.3
122,4,21.3
123,4,19.4
124,4,21.4
125,4,22.7
126,4,26.5
127,4,31.9
128,4,38.5
129,4,44.1
130,4,22.8
131,4,23.2
132,4,20.8
133,4,25.3
134,4,24.9
135,4,30.2
136,4,36.5
137,4,42.1
138,4,23.9
139,4,23.8
140,4,23.1
141,4,26.5
142,4,29.3
143,4,34
144,4,40.4
145,4,46.4
146,4,26.8
147,4,23.5
148,4,27
149,4,28.4
150,4,34.1
151,4,36.7
152,4,44.9
153,4,26.9
154,4,25.6
155,4,26.4
156,4,30.2
157,4,31
158,4,37.7
159,4,39.7
160,4,28.2
161,4,27.4
162,4,28.5
163,4,33.3
164,4,36.1
165,4,38.6
166,4,41.6
167,4,29.4
168,4,29.1
169,4,33.3
170,4,35.3
171,4,38.1
172,4,43.1
173,4,30.7
174,4,32.2
175,4,35.8
176,4,39.8
177,4,44.2
178,4,32.4
179,4,31.1
180,4,39.2
181,4,38.3
182,4,44.2
183,4,32.7
184,4,35.1
185,4,38.2
186,4,42.6
187,4,33.4
188,4,38.3
189,4,40.8
1,5,19.6
2,5,23.2
3,5,28.7
4,5,15.7
5,5,19.7
6,5,26.4
7,5,28.5
8,5,14.4
9,5,18.1
10,5,22.3
11,5,26.2
12,5,32.5
13,5,11.9
14,5,13.7
15,5,18.5
16,5,23.6
17,5,29.3
18,5,34.2
19,5,9.6
20,5,11.5
21,5,16.2
22,5,19.7
23,5,26.1
24,5,32.4
25,5,36.3
26,5,7.1
27,5,9.5
28,5,13.1
29,5,16.4
30,5,21.1
31,5,29.3
32,5,34
33,5,6.8
34,5,9.1
35,5,14.9
36,5,18.2
37,5,24.8
38,5,31.7
39,5,37.5
40,5,6.1
41,5,5.2
42,5,10.3
43,5,15.3
44,5,21.9
45,5,29.5
46,5,36.3
47,5,40.7
48,5,5.4
49,5,3
50,5,6.7
51,5,11.5
52,5,18.1
53,5,25.7
54,5,32.6
55,5,37.5
56,5,3.3
57,5,2.9
58,5,8.2
59,5,14.1
60,5,21
61,5,30.5
62,5,34.8
63,5,39.4
64,5,4.5
65,5,0.9
66,5,5.8
67,5,12
68,5,18.8
69,5,26.3
70,5,33
71,5,36.8
72,5,4.2
73,5,4.5
74,5,8.9
75,5,16.4
76,5,21.8
77,5,28.5
78,5,34
79,5,38.7
80,5,7.2
81,5,4.8
82,5,8.3
83,5,12
84,5,18.1
85,5,24.7
86,5,31.3
87,5,36.3
88,5,40.7
89,5,7.3
90,5,8.4
91,5,10.3
92,5,15.7
93,5,21.1
94,5,28.1
